,population,latitude,longitude
255,53,40.12604683,-88.26391553
256,49,40.12499203,-88.26153673
257,25,40.12197048,-88.26323077
258,27,40.12243161,-88.2591011
259,47,40.11973095,-88.26144511
260,32,40.11680997,-88.26140232
261,59,40.11872773,-88.25907602
262,91,40.12356653,-88.25553909
263,83,40.12147542,-88.29875125
264,46,40.11487549,-88.26138167
265,110,40.11776512,-88.25607645
266,71,40.11579127,-88.25301909
267,68,40.11482823,-88.25300829
268,69,40.1288451,-88.24640728
269,26,40.12755053,-88.24890523
270,0,40.13670838,-88.2457777
271,0,40.1352185,-88.24482207
272,51,40.13188632,-88.24679939
273,37,40.09509218,-88.27055966
274,0,40.13617788,-88.24903295
275,3,40.08436212,-88.26719150000001
276,0,40.14545268,-88.25825061
277,111,40.12438392,-88.28952529
278,11,40.13499501,-88.32421043
279,15,40.12439361,-88.29413901
280,73,40.11685673,-88.16749312
281,0,40.12162411,-88.16883259
282,64,40.09980175,-88.30900908
283,28,40.12681098,-88.246052
284,47,40.12270747,-88.25094643
285,35,40.1216537,-88.24932413
286,39,40.12068175,-88.25096877
287,44,40.12165235,-88.24602215
288,17,40.12238469,-88.24439854
289,0,40.11679654,-88.24434262
290,1,40.11484485,-88.24598005
291,22,40.11898274,-88.24278161
292,38,40.1134875,-88.24565234
293,25,40.11673702,-88.2420785
294,44,40.11316856,-88.26514756
295,42,40.10856877,-88.26370278
296,30,40.10958442,-88.26192398
297,0,40.14169132,-88.25739437
298,0,40.08905681,-88.24813467
299,0,40.133148,-88.23128155
300,41,40.10686935,-88.17646595
301,0,40.07134617,-88.21870162
302,0,40.15053233,-88.27399035
303,78,40.14358515,-88.27393106
304,16,40.11308598,-88.25899339
305,20,40.10958264,-88.25954489
306,37,40.1095782,-88.25681876
307,28,40.10673791,-88.25678794
308,35,40.10418411,-88.25684858
309,32,40.10399273,-88.25531168
310,36,40.10340463,-88.25406978
